"gene","all15_adjusted_technique_logFC","all15_adjusted_technique_FDR","fresh11_logFC","fresh11_FDR","fresh_no_prior_treatment_logFC","fresh_no_prior_treatment_FDR"
"ZC4H2",-0.0457638314309795,0.986243996198961,0.0217654912770778,0.978003414629088,0.0191684538860667,0.987390510458518
"MSN",0.0729248472483308,0.946978282166981,0.0546768266820215,0.882796185416272,0.0639563813657959,0.851615103190831
"AL034397.3",-0.624945764350887,0.59030874370855,-0.449539122912175,0.539909812541728,-0.520651433869119,0.455729469688749
"VSIG4",0.389932153438603,0.745590386868765,0.326170129230977,0.565951168967911,0.519758237144885,0.307928681666602
"OPHN1",-0.501362060817601,0.615910607717767,-0.314200067856337,0.59186078503092,-0.460879760657473,0.454646209978998
"YIPF6",0.0398052329374025,0.964462552585652,0.0398442487025109,0.906065847573787,0.0423185724945245,0.911696415617216
"EFNB1",-0.0910594102511565,0.986243996198961,-0.184548028539399,0.718987214997375,-0.287800955990587,0.565699562145283
"EDA",-0.416932731053967,0.743641475921582,-0.168084834598397,0.763807426580721,-0.163529244206616,0.802059000518938
"IGBP1",0.216350435591466,0.795440606734161,0.189549635238143,0.655516967718768,0.331039985932204,0.376391918003978
"PDZD11",0.116757349708165,0.956660628690128,0.189956306074216,0.614396075881076,0.291246886854723,0.376391918003978
"IL2RG",0.00904069508449077,0.993039382491997,0.0118607582219087,0.983695951086117,0.049312646578573,0.952219368330894
"NONO",0.0605253304042627,0.937295590475388,0.0442314738909392,0.89427945958319,0.062582187453507,0.85524217122191
"TAF1",-0.124755955396199,0.847164208899954,-0.0789920551136962,0.78200548951756,-0.0715506753337408,0.837505118760973
"OGT",-0.163006479907823,0.834869989317809,-0.125606372858052,0.728626054491622,-0.189844045936411,0.597365886924465
"GCNA",-0.085093512881749,0.954663243024224,-0.0405722109240265,0.950443368715465,-0.128449432138613,0.800759848264319
"CXCR3",0.354750609980817,0.923535871787432,0.231715048076781,0.865887045284762,0.189751996016607,0.88003463546364
"NHSL2",-0.231301258349307,0.920170999728793,-0.180080804100676,0.845608808750541,-0.320462901589993,0.643946550076799
"PIN4",-0.0418731274918442,0.968190410187967,0.0094267683504777,0.978633589800716,0.0256336580937087,0.953288966996308
"RPS4X",0.384869946390066,0.891570953693957,0.28052538345012,0.607426835575097,0.416955015485088,0.361679412238685
"HDAC8",-0.0937263130197176,0.915615419264746,-0.0560399256725642,0.882796185416272,-0.0546488333125239,0.907183109486887
"CHIC1",-0.195026525914852,0.831586301123345,-0.12775547813585,0.787285299040374,-0.176013684598706,0.75070515447857
"TSIX",-0.345002918539128,0.972747459822463,0.0922411945786447,0.972633302354072,0.373168660465224,0.896785969713696
"XIST",-0.0807839451028623,0.992572521146882,0.325956647578756,0.949757741465138,0.697550606575147,0.890809297417327
"FTX",-0.190107328195839,0.848903305816828,-0.125179221669499,0.784794565990796,-0.0796513851694413,0.874739911913299
"JPX",-0.163597054477193,0.891570953693957,-0.0491492741433391,0.934736410546852,-0.00289275320311,0.997422506481971
"RLIM",-0.0909602382790028,0.915615419264746,-0.09048625026047,0.763807426580721,-0.139631295308934,0.6824871277944
"ABCB7",0.0895133230747899,0.919985914487433,0.061408716965877,0.879318949048446,0.0979164480627941,0.802651708789616
"UPRT",0.0137366031313917,0.989020511532505,0.0275354088772709,0.961663698018687,0.0182592089849018,0.977649323251274
"PBDC1",0.327143782337583,0.903608037062864,0.184855182023796,0.640296170376593,0.192446180758415,0.649967003798859
"ATRX",-0.078945749244112,0.932910342509783,-0.0563992153967313,0.879318949048446,-0.0687584902014508,0.834800523327559
"MAGT1",0.0433214105520479,0.975727322813314,0.0420162391537307,0.923108484360897,0.0419505542779534,0.928617999980495
"COX7B",0.0450006514950065,0.988098841947966,0.0314242680915157,0.949757741465138,0.0371602691712925,0.943715624195426
"PGK1",0.335430579884129,0.663401121515774,0.221195692355956,0.539909812541728,0.232857424585925,0.473493734259366
"ITM2A",0.599766644274496,0.871146086444017,0.369277873778031,0.768239292111389,0.345263481542735,0.801143625969714
"BRWD3",-0.0874411644501366,0.912259746037492,-0.0726341350687637,0.826603556802908,-0.104457585809521,0.76214077234056
"SH3BGRL",0.0360627670078419,0.975727322813314,0.0306485156839259,0.94617045595008,0.0581659746908284,0.883327474024775
"HDX",-0.172682833144172,0.847164208899954,-0.0872769944750354,0.833086038015381,-0.125694479059031,0.792241745339718
"CHM",-0.067624230672992,0.946978282166981,-0.0300930837696835,0.954105940970052,0.00520993202833365,0.993877316575288
"DIAPH2",-0.0322686357349454,0.986243996198961,-0.037735087659484,0.932320009271582,-0.0660368611892733,0.868416651730548
"TSPAN6",-0.0382615386058802,0.990850390543415,-0.0630011896263727,0.968099084668931,-0.17045629659077,0.888288515330587
"SRPX2",0.546697133039612,0.845540732817005,0.42186865048743,0.732900498693472,0.361707327507931,0.760440344298506
"SYTL4",-0.620391423007699,0.871706895567762,-0.421790348425034,0.813747570349955,-0.537660021802539,0.675312666289578
"DRP2",-1.25479662425857,0.840467050491297,-0.954868247308504,0.730245999349297,-1.21862987798958,0.625801672813662
"BTK",0.0139102651586046,0.987232790302631,0.0183133435249387,0.961732451996458,0.00063611128892339,0.999155714450675
