"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"PC_VSMC","myeSC","BMP2","BMPR1B_ACVR2A",0.000342118276425235,0,"BMP2_BMPR1B_ACVR2A","BMP2 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","myeSC","BMP2","BMPR1B_BMPR2",6.1286648092117e-06,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","myeSC","BMP2","BMPR1B_BMPR2",0.00032872047284643,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"PC_VSMC","myeSC","BMP2","BMPR1B_BMPR2",0.000482266273728294,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","nmSC","BMP2","BMPR1B_BMPR2",2.18558568756195e-06,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","nmSC","BMP2","BMPR1B_BMPR2",0.000117256536309133,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"PC_VSMC","nmSC","BMP2","BMPR1B_BMPR2",0.000172043898848602,0,"BMP2_BMPR1B_BMPR2","BMP2 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","myeSC","BMP4","BMPR1A_ACVR2A",0.000164643756973471,0,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Fibroblast","myeSC","BMP4","BMPR1A_ACVR2A",8.30672327648064e-05,0,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Endothelial","Fibroblast","BMP4","BMPR1A_BMPR2",0.00010788492395559,0,"BMP4_BMPR1A_BMPR2","BMP4 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
